cbi,ccode,date,adv,mp,mps,yield10y_2day,yield2y_2day,tp10y_2day,tp2y_2day,ex_rate_regime,us_integ,kaopen,vuln_index,trade_open,fin_depth,dollar_exp,dollar_debt,mpu_level,mpu,us_yield,vix
0.017,44,12906,1,-0.0347,-0.0177,0.75051809826588,0.19771420879675797,0.2081037992684011,0.2341636760614763,1,5.22024,2.36,NA,100.33,149.812,327.687399999999,125.4857,-0.05870707323529467,-0.3148291,4.275,15.12
0.0239,44,12964,1,0.0515,0.0754,-0.07322054298691656,0.3041763504608217,-0.377634143945203,-0.04192401663498838,1,5.22024,2.36,NA,100.33,149.812,327.687399999999,125.4857,-0.11217000323529469,0.054536242,4.05,11.77
0.0025,44,13004,1,-0.0194,-0.016900000000000002,0.14644222090530112,0.2737582393789177,0.20131402557519465,0.4361454419510579,1,5.22024,2.36,NA,100.33,149.812,327.687399999999,125.4857,-0.16994207323529464,0.007944775,4.52,13.21
-0.0177,44,13046,1,0.0511,0.0334,-0.8603520063497725,-0.7300226510040587,-0.2622631810163101,-0.40365939159347136,1,5.22024,2.36,NA,100.33,149.812,327.687399999999,125.4857,-0.06769480323529464,-0.59202945,4.383,12.14
0.0216,44,13088,1,0.0091,0.0307,1.0434054689318837,1.5360901842837602,-0.17711322946632096,0.24087080741609723,1,5.22024,2.36,NA,100.33,149.812,327.687399999999,125.4857,-0.10387507323529466,-0.46699184,4.682,15.32
-0.0019,44,13130,1,-0.0448,-0.0467,0.6589910008678992,-1.2014953121031051,1.3237228136362187,0.6653888135158051,1,5.22024,2.36,NA,100.33,149.812,327.687399999999,125.4857,-0.07007147323529472,-0.37094778,4.603,11.47
0.0284,44,13179,1,0.0086,0.037000000000000005,0.713908137963308,0.33459353380518153,0.2460359617548173,0.1942784362546545,1,5.82233,2.36,NA,104.518,153.917,300.8174,110.1827,-0.11123487323529468,-0.19057384,4.585,12.39
0.0322,44,13235,1,0.0445,0.07669999999999999,0.40271900888696005,0.07604476060514527,0.45747583034975375,0.17322861356774247,1,5.82233,2.36,NA,104.518,153.917,300.8174,110.1827,-0.1327014732352947,-0.0705621,4.874,11.46
-0.0243,44,13278,1,0.0239,-3.999999999999976e-4,1.5925634769832033,0.3193857101780177,0.5618948594974841,0.04152327136479258,1,5.82233,2.36,NA,104.518,153.917,300.8174,110.1827,-0.13912977323529463,-0.25993726,5.254,11.99
-0.0109,44,13328,1,-0.0749,-0.08579999999999999,0.43932664441055713,0.07604379788733301,0.06576907673729765,-0.1163882314007623,1,5.82233,2.36,NA,104.518,153.917,300.8174,110.1827,-0.09950932323529471,-0.026612477,5.287,15.79
-0.0344,44,13368,1,0.0171,-0.0173,0.07322134842215193,-0.1064628412694249,-0.10184786891115795,-0.10845899855237577,1,5.82233,2.36,NA,104.518,153.917,300.8174,110.1827,-0.1048243732352947,-0.765478,5.001,15.23
-0.0406,44,13411,1,-0.0379,-0.0785,-0.805435601468214,-0.6996055132861355,-0.32134601908448185,-0.2871835405336447,1,5.82233,2.36,NA,104.518,153.917,300.8174,110.1827,-0.07919187323529464,-0.050552,4.809,11.98
-0.0253,44,13446,1,-0.0371,-0.0624,-0.9335744897033924,-0.42584502300301225,-0.4504824632435404,-0.23489974653666168,1,5.82233,2.36,NA,104.518,153.917,300.8174,110.1827,-0.09698757323529472,0.2206505,4.823,10.78
0.0071,44,13494,1,0.0107,0.0178,-0.05491457434693267,-0.13687800184176213,-0.014197935356022864,0.27424247625458614,1,5.82233,2.36,NA,104.518,153.917,300.8174,110.1827,-0.039255073235294646,-0.42958236,4.551,10.71
0.0207,44,13544,1,-0.0272,-0.006499999999999999,-0.7688256960816808,-0.7908596031908524,-0.09612538864830902,-0.32714667754966603,1,5.43693,2.36,NA,111.311,157.07,310.0304,127.4531,-0.19256004323529463,-0.41312978,4.873,10.96
0.0186,44,13593,1,-0.0375,-0.0189,0.36610593667552427,-0.13687794100651332,0.33470760059682925,-0.39594904454513374,1,5.43693,2.36,NA,111.311,157.07,310.0304,127.4531,-0.06719197323529469,0.23763944,4.61299999999999,13.27
-0.0122,44,13642,1,0.0162,0.003999999999999998,-0.12813738719678525,0.15208698133865314,0.05933702530804045,0.1841223311495197,1,5.43693,2.36,NA,111.311,157.07,310.0304,127.4531,-0.1255674732352947,-0.47139096,4.771,13.21
-0.0018,44,13692,1,0.0039,0.0021,0.20135741763400658,0.4106389027628148,-0.06058613234503114,-0.2613742388748514,1,5.43693,2.36,NA,111.311,157.07,310.0304,127.4531,-0.14223187323529463,-0.037899923,5.237,15.53
0.0694,44,13732,1,0.0135,0.0829,1.0250976514519277,-0.2585509024337443,0.16253108446670655,-0.13401944992517917,1,5.43693,2.36,NA,111.311,157.07,310.0304,127.4531,0.09490452676470529,-1.1405864,4.912,22.94
